taxon_id,scientific_name,family,kingdom,temp_min_c,temp_max_c,rainfall_min_mm_year,rainfall_max_mm_year,ph_min,ph_max,uses,growth_form_uri,plant_form_uri,soil_depth,soil_texture_uri,source
18286,Pennisetum setaceum,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
18325,Potentilla reptans,Rosaceae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
18352,Ruta graveolens,Rutaceae,Archaeplastida,17,26,500,1500,6.5,7.5,ornamental/turf,http://eol.org/schema/terms/multipleStems,http://eol.org/schema/terms/subshrub,50,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
18443,Tephrosia bracteolata,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
18471,Vossia cuspidata,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
18480,Zornia latifolia,,Archaeplastida,18,28,1200,1800,4.5,6,,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900037,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
18511,Digitaria eriantha,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
28399,Phytolacca dioica,Phytolaccaceae,Archaeplastida,18,32,800,1500,5.5,7,mammals | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
30442,Brachylaena huillensis,Compositae,Archaeplastida,15,25,900,1200,5,7,fuelwood | ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
30571,Cynodon aethiopicus,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
30805,Podocarpus falcatus,Podocarpaceae,Archaeplastida,13,20,1200,1800,5,7,fuelwood | insects | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
30919,Lycopodium clavatum,Lycopodiaceae,Archaeplastida,,,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0980071,FAO ECOCROP-derived DwC-A measurement data
31703,Acanthosicyos horridus,,Archaeplastida,15,30,125,250,6,7,lipids/oil & fats,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900034,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
32427,Borassus aethiopum,Palmae,Archaeplastida,20,35,500,1000,5.5,7,lipids/oil & fats,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
33121,Rhigozum trichotomum,Bignoniaceae,Archaeplastida,15,35,150,300,6,7,erosion control | pioneer,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900034,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
34722,Chlorophytum comosum,Anthericaceae,Archaeplastida,12,24,700,1500,5,7,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,50,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
38122,Ficus thonningii,Moraceae,Archaeplastida,22,28,750,2000,5,7,erosion control | fuelwood | manure/fertilizer | ornamental/turf,http://eol.org/schema/terms/singleStem,,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
